testbench name	#inputs	#outputs#DFF	#gates
b01		2	2	5	39
b02		1	1	4	24
b03		4	4	30	144
b04		11	8	66	632
b05		1	36	34	821
b06		2	6	9	49
b07		1	8	49	380
b08		9	4	21	157
b09		1	1	28	146
b10		11	6	17	174
b11		7	6	31	622
b12		5	6	121	963
b13		10	10	53	310
b14		32	54	245	8567
b14_1		32	54	245	5812
b15		36	70	449	7922
b15_1		36	70	449	10871
b17		37	97	1415	27852
b17_1		37	97	1415	32971
b18		37	23	3320	94249
b18_1		37	23	3320	88954
b19		24	30	6642	190213
b19_1		24	30	6642	179998
b20		32	22	490	17158
b20_1		32	22	490	12264
b21		32	22	490	17482
b21_1		32	22	490	12248
b22		32	22	735	25460
b22_1		32	22	735	18461
